TANGGAL,BULAN,TAHUN,CURAH HUJAN,,,,,,,
20,JUNI,2019,,,,,,,,
21,JUNI,2019,,,,,,,,
22,JUNI,2019,,,,,,,,
23,JUNI,2019,"21,20",,,,,,,
24,JUNI,2019,,,,,,,,
25,JUNI,2019,,,,,,,,
26,JUNI,2019,,,,,,,,
27,JUNI,2019,,,,,,,,
28,JUNI,2019,"15,50",,,,,,,
29,JUNI,2019,,,,,,,,
30,JUNI,2019,,,,,,,,
31,JUNI,2019,,,,,,,,
1,JULI,2019,,,,,,,,
2,JULI,2019,"15,20",,,,,,,
3,JULI,2019,"20,30",,,,,,,
4,JULI,2019,,,,,,,,
5,JULI,2019,"30,50",,,,,,,
6,JULI,2019,,,,,,,,
7,JULI,2019,,,,,,,,
8,JULI,2019,,,,,,,,
9,JULI,2019,,,,,,,,
10,JULI,2019,,,,,,,,
11,JULI,2019,,,,,,,,
12,JULI,2019,"34,30",,,,,,,
13,JULI,2019,,,,,,,,
14,JULI,2019,,,,,,,,
15,JULI,2019,,,,,,,,
16,JULI,2019,,,,,,,,
17,JULI,2019,,,,,,,,
18,JULI,2019,,,,,,,,
19,JULI,2019,,,,,,,,
20,JULI,2019,,,,,,,,
21,JULI,2019,,,,,,,,
22,JULI,2019,,,,,,,,
23,JULI,2019,,,,,,,,
24,JULI,2019,,,,,,,,
25,JULI,2019,,,,,,,,
26,JULI,2019,,,,,,,,
27,JULI,2019,,,,,,,,
28,JULI,2019,,,,,,,,
29,JULI,2019,,,,,,,,
30,JULI,2019,,,,,,,,
31,JULI,2019,"40,40",,,,,,,
1,AGS,2019,,,,,,,,
2,AGS,2019,,,,,,,,
3,AGS,2019,,,,,,,,
4,AGS,2019,,,,,,,,
5,AGS,2019,,,,,,,,
6,AGS,2019,,,,,,,,
7,AGS,2019,,,,,,,,
8,AGS,2019,,,,,,,,
9,AGS,2019,,,,,,,,
10,AGS,2019,,,,,,,,
11,AGS,2019,,,,,,,,
12,AGS,2019,,,,,,,,
13,AGS,2019,,,,,,,,
14,AGS,2019,,,,,,,,
15,AGS,2019,,,,,,,,
16,AGS,2019,,,,,,,,
17,AGS,2019,,,,,,,,
18,AGS,2019,,,,,,,,
19,AGS,2019,,,,,,,,
20,AGS,2019,,,,,,,,
21,AGS,2019,,,,,,,,
22,AGS,2019,"10,20",,,,,,,
23,AGS,2019,,,,,,,,
24,AGS,2019,"54,60",,,,,,,
25,AGS,2019,,,,,,,,
26,AGS,2019,"5,10",,,,,,,
27,AGS,2019,,,,,,,,
28,AGS,2019,,,,,,,,
29,AGS,2019,,,,,,,,
30,AGS,2019,,,,,,,,
31,AGS,2019,,,,,,,,
1,SEP,2019,,,,,,,,
2,SEP,2019,,,,,,,,
3,SEP,2019,,,,,,,,
4,SEP,2019,,,,,,,,
5,SEP,2019,,,,,,,,
6,SEP,2019,,,,,,,,
7,SEP,2019,,,,,,,,
8,SEP,2019,,,,,,,,
9,SEP,2019,,,,,,,,
10,SEP,2019,,,,,,,,
11,SEP,2019,,,,,,,,
12,SEP,2019,,,,,,,,
13,SEP,2019,,,,,,,,
14,SEP,2019,,,,,,,,
15,SEP,2019,,,,,,,,
16,SEP,2019,,,,,,,,
17,SEP,2019,,,,,,,,
18,SEP,2019,,,,,,,,
19,SEP,2019,,,,,,,,
20,SEP,2019,,,,,,,,
21,SEP,2019,,,,,,,,
22,SEP,2019,,,,,,,,
23,SEP,2019,,,,,,,,
24,SEP,2019,,,,,,,,
25,SEP,2019,,,,,,,,
26,SEP,2019,,,,,,,,
27,SEP,2019,"40,50",,,,,,,
28,SEP,2019,"15,50",,,,,,,
29,SEP,2019,,,,,,,,
30,SEP,2019,"20,20",,,,,,,
31,SEP,2019,,,,,,,,
1,OKT,2019,"28,80",,,,,,,
2,OKT,2019,"10,20",,,,,,,
3,OKT,2019,,,,,,,,
4,OKT,2019,,,,,,,,
5,OKT,2019,,,,,,,,
6,OKT,2019,,,,,,,,
7,OKT,2019,,,,,,,,
8,OKT,2019,,,,,,,,
9,OKT,2019,"25,20",,,,,,,
10,OKT,2019,,,,,,,,
11,OKT,2019,"8,30",,,,,,,
12,OKT,2019,,,,,,,,
13,OKT,2019,"44,50",,,,,,,
14,OKT,2019,,,,,,,,
15,OKT,2019,,,,,,,,
16,OKT,2019,,,,,,,,
17,OKT,2019,"10,30",,,,,,,
18,OKT,2019,,,,,,,,
19,OKT,2019,"8,20",,,,,,,
20,OKT,2019,,,,,,,,
21,OKT,2019,,,,,,,,
22,OKT,2019,,,,,,,,
23,OKT,2019,,,,,,,,
24,OKT,2019,,,,,,,,
25,OKT,2019,,,,,,,,
26,OKT,2019,"15,20",,,,,,,
27,OKT,2019,"22,50",,,,,,,
28,OKT,2019,,,,,,,,
29,OKT,2019,,,,,,,,
30,OKT,2019,,,,,,,,
31,OKT,2019,"20,40",,,,,,,
1,NOV,2019,,,,,,,,
2,NOV,2019,,,,,,,,
3,NOV,2019,,,,,,,,
4,NOV,2019,,,,,,,,
5,NOV,2019,"20,30",,,,,,,
6,NOV,2019,,,,,,,,
7,NOV,2019,,,,,,,,
8,NOV,2019,"40,50",,,,,,,
9,NOV,2019,,,,,,,,
10,NOV,2019,,,,,,,,
11,NOV,2019,,,,,,,,
12,NOV,2019,,,,,,,,
13,NOV,2019,"45,20",,,,,,,
14,NOV,2019,"35,20",,,,,,,
15,NOV,2019,,,,,,,,
16,NOV,2019,,,,,,,,
17,NOV,2019,,,,,,,,
18,NOV,2019,,,,,,,,
19,NOV,2019,,,,,,,,
20,NOV,2019,,,,,,,,
21,NOV,2019,,,,,,,,
22,NOV,2019,,,,,,,,
23,NOV,2019,"15,50",,,,,,,
24,NOV,2019,,,,,,,,
25,NOV,2019,,,,,,,,
26,NOV,2019,,,,,,,,
27,NOV,2019,"68,00",,,,,,,
28,NOV,2019,"44,30",,,,,,,
29,NOV,2019,,,,,,,,
30,NOV,2019,"43,50",,,,,,,
31,NOV,2019,,,,,,,,
1,DES,2019,"26,20",,,,,,,
2,DES,2019,,,,,,,,
3,DES,2019,,,,,,,,
4,DES,2019,,,,,,,,
5,DES,2019,,,,,,,,
6,DES,2019,"20,10",,,,,,,
7,DES,2019,,,,,,,,
8,DES,2019,"45,50",,,,,,,
9,DES,2019,"30,10",,,,,,,
10,DES,2019,"10,40",,,,,,,
11,DES,2019,"70,00",,,,,,,
12,DES,2019,"14,20",,,,,,,
13,DES,2019,,,,,,,,
14,DES,2019,,,,,,,,
15,DES,2019,,,,,,,,
16,DES,2019,"30,40",,,,,,,
17,DES,2019,"65,50",,,,,,,
18,DES,2019,,,,,,,,
19,DES,2019,"21,10",,,,,,,
20,DES,2019,"10,30",,,,,,,
21,DES,2019,,,,,,,,
22,DES,2019,,,,,,,,
23,DES,2019,"15,20",,,,,,,
24,DES,2019,,,,,,,,
25,DES,2019,,,,,,,,
26,DES,2019,,,,,,,,
27,DES,2019,"8,30",,,,,,,
28,DES,2019,"12,30",,,,,,,
29,DES,2019,"15,20",,,,,,,
30,DES,2019,,,,,,,,
31,DES,2019,,,,,,,,
1,JAN,2018,"30,80",,,,,,,
2,JAN,2018,"2,10",,,,,,,
3,JAN,2018,,,,,,,,
4,JAN,2018,"32,10",,,,,,,
5,JAN,2018,,,,,,,,
6,JAN,2018,"8,20",,,,,,,
7,JAN,2018,,,,,,,,
8,JAN,2018,,,,,,,,
9,JAN,2018,,,,,,,,
10,JAN,2018,"5,60",,,,,,,
11,JAN,2018,"22,20",,,,,,,
12,JAN,2018,,,,,,,,
13,JAN,2018,"4,50",,,,,,,
14,JAN,2018,"4,10",,,,,,,
15,JAN,2018,,,,,,,,
16,JAN,2018,"14,10",,,,,,,
17,JAN,2018,,,,,,,,
18,JAN,2018,,,,,,,,
19,JAN,2018,,,,,,,,
20,JAN,2018,"35,50",,,,,,,
21,JAN,2018,"19,10",,,,,,,
22,JAN,2018,"2,50",,,,,,,
23,JAN,2018,"17,30",,,,,,,
24,JAN,2018,,,,,,,,
25,JAN,2018,"34,50",,,,,,,
26,JAN,2018,"0,90",,,,,,,
27,JAN,2018,,,,,,,,
28,JAN,2018,,,,,,,,
29,JAN,2018,"81,20",,,,,,,
30,JAN,2018,"16,60",,,,,,,
31,JAN,2018,,,,,,,,
1,FEB,2018,"32,00",,,,,,,
2,FEB,2018,"2,50",,,,,,,
3,FEB,2018,,,,,,,,
4,FEB,2018,"1,90",,,,,,,
5,FEB,2018,"10,60",,,,,,,
6,FEB,2018,"16,50",,,,,,,
7,FEB,2018,"2,60",,,,,,,
8,FEB,2018,"61,10",,,,,,,
9,FEB,2018,,,,,,,,
10,FEB,2018,"1,50",,,,,,,
11,FEB,2018,"11,70",,,,,,,
12,FEB,2018,"13,50",,,,,,,
13,FEB,2018,"0,80",,,,,,,
14,FEB,2018,"1,70",,,,,,,
15,FEB,2018,"42,60",,,,,,,
16,FEB,2018,,,,,,,,
17,FEB,2018,,,,,,,,
18,FEB,2018,"36,70",,,,,,,
19,FEB,2018,"2,90",,,,,,,
20,FEB,2018,,,,,,,,
21,FEB,2018,"4,40",,,,,,,
22,FEB,2018,,,,,,,,
23,FEB,2018,,,,,,,,
24,FEB,2018,"9,90",,,,,,,
25,FEB,2018,"18,00",,,,,,,
26,FEB,2018,,,,,,,,
27,FEB,2018,"10,00",,,,,,,
28,FEB,2018,"1,70",,,,,,,
29,FEB,2018,,,,,,,,
30,FEB,2018,,,,,,,,
31,FEB,2018,,,,,,,,
1,MAR,2018,,,,,,,,
2,MAR,2018,,,,,,,,
3,MAR,2018,"39,20",,,,,,,
4,MAR,2018,,,,,,,,
5,MAR,2018,,,,,,,,
